"k","alpha","omega","stabilite"
2,0.15,0.3,0.922515913235392
3,0.15,0.3,0.754878729675747
4,0.15,0.3,0.733709847361563
5,0.15,0.3,0.782741837458729
6,0.15,0.3,0.807473978771398
2,0.2,0.3,0.90028265012444
3,0.2,0.3,0.850942606892259
4,0.2,0.3,0.669412170331258
5,0.2,0.3,0.691440624486646
6,0.2,0.3,0.787567958973775
2,0.25,0.3,0.884237776997761
3,0.25,0.3,0.82248495183775
4,0.25,0.3,0.757413712122176
5,0.25,0.3,0.747156225848246
6,0.25,0.3,0.772162921674306
2,0.3,0.3,0.849729590062955
3,0.3,0.3,0.81908613976419
4,0.3,0.3,0.763147609583683
5,0.3,0.3,0.744006770402132
6,0.3,0.3,0.770525279188876
2,0.35,0.3,0.793110947611674
3,0.35,0.3,0.757176400841785
4,0.35,0.3,0.7439569533217
5,0.35,0.3,0.76872876427926
6,0.35,0.3,0.738907005264982
2,0.4,0.3,0.736467308299642
3,0.4,0.3,0.690230428615885
4,0.4,0.3,0.737881278409232
5,0.4,0.3,0.729347146107841
6,0.4,0.3,0.71667641253921
2,0.45,0.3,0.763342145230161
3,0.45,0.3,0.609026083577895
4,0.45,0.3,0.742675249040403
5,0.45,0.3,0.739216353203648
6,0.45,0.3,0.697730829904359
2,0.5,0.3,0.835434700858687
3,0.5,0.3,0.691549445900766
4,0.5,0.3,0.717605647219115
5,0.5,0.3,0.717775993787935
6,0.5,0.3,0.681386155181714
2,0.55,0.3,0.862174441752921
3,0.55,0.3,0.71657467357474
4,0.55,0.3,0.742052386236369
5,0.55,0.3,0.697120180550522
6,0.55,0.3,0.64034607803248
2,0.6,0.3,0.877545580133514
3,0.6,0.3,0.719233815834748
4,0.6,0.3,0.802898860475041
5,0.6,0.3,0.732741378518675
6,0.6,0.3,0.645040606039228
2,0.65,0.3,0.891232435583585
3,0.65,0.3,0.758127334758585
4,0.65,0.3,0.80000040066328
5,0.65,0.3,0.665064457184626
6,0.65,0.3,0.665375696127226
2,0.7,0.3,0.907357322480901
3,0.7,0.3,0.763975043337552
4,0.7,0.3,0.783400248451954
5,0.7,0.3,0.665306197886034
6,0.7,0.3,0.666969106858437
2,0.75,0.3,0.927444034741136
3,0.75,0.3,0.759840350656271
4,0.75,0.3,0.780162945376507
5,0.75,0.3,0.6537186039201
6,0.75,0.3,0.662636729074273
2,0.8,0.3,0.941259541783528
3,0.8,0.3,0.73251831193063
4,0.8,0.3,0.783484745040426
5,0.8,0.3,0.622962302235486
6,0.8,0.3,0.67570000563009
2,0.85,0.3,0.936620024074928
3,0.85,0.3,0.717656638804416
4,0.85,0.3,0.784109286516173
5,0.85,0.3,0.675072612855287
6,0.85,0.3,0.71213794383718
2,0.9,0.3,0.943165029525696
3,0.9,0.3,0.751038932866226
4,0.9,0.3,0.796763340637219
5,0.9,0.3,0.675186927928048
6,0.9,0.3,0.698380369797275
2,0.95,0.3,0.933677009247217
3,0.95,0.3,0.751315552691276
4,0.95,0.3,0.800644012397531
5,0.95,0.3,0.731842313376373
6,0.95,0.3,0.709895752299313
2,1,0.3,0.942249908991208
3,1,0.3,0.552827837867655
4,1,0.3,0.778650393224122
5,1,0.3,0.731912363553861
6,1,0.3,0.687095413083022
2,0,0.35,0.909339826168341
3,0,0.35,0.841779385365308
4,0,0.35,0.661277511512014
5,0,0.35,0.682952758517007
6,0,0.35,0.708806802389127
2,0.05,0.35,0.925506006713125
3,0.05,0.35,0.821491035592455
4,0.05,0.35,0.750273507945427
5,0.05,0.35,0.791937740338703
6,0.05,0.35,0.819459766178665
2,0.1,0.35,0.937123222464508
3,0.1,0.35,0.79554651823351
4,0.1,0.35,0.694419900195319
5,0.1,0.35,0.778525161790755
6,0.1,0.35,0.80666912555067
2,0.15,0.35,0.91865670735961
3,0.15,0.35,0.74827579302771
4,0.15,0.35,0.7273526613043
5,0.15,0.35,0.818201660755171
6,0.15,0.35,0.82071198271653
2,0.2,0.35,0.877706010613985
3,0.2,0.35,0.778512722358433
4,0.2,0.35,0.671920898519255
5,0.2,0.35,0.686993525095588
6,0.2,0.35,0.793178767956801
2,0.25,0.35,0.585213989980222
3,0.25,0.35,0.745540592847165
4,0.25,0.35,0.775197381024748
5,0.25,0.35,0.786374927499851
6,0.25,0.35,0.760029416118202
2,0.3,0.35,0.686830035393605
3,0.3,0.35,0.686798699105172
4,0.3,0.35,0.761308632342155
5,0.3,0.35,0.730531135043225
6,0.3,0.35,0.711134386414967
2,0.35,0.35,0.697464509424343
3,0.35,0.35,0.647970393277736
4,0.35,0.35,0.730050691294514
5,0.35,0.35,0.742088164934571
6,0.35,0.35,0.680576720668884
2,0.4,0.35,0.803833153125863
3,0.4,0.35,0.725461400506426
4,0.4,0.35,0.733353391221228
5,0.4,0.35,0.697220589652996
6,0.4,0.35,0.685888384407242
2,0.45,0.35,0.81457551512192
3,0.45,0.35,0.743655859899121
4,0.45,0.35,0.76325171266389
5,0.45,0.35,0.734843653968362
6,0.45,0.35,0.668895851722064
2,0.5,0.35,0.878254911204123
3,0.5,0.35,0.790995527511282
4,0.5,0.35,0.773867590952064
5,0.5,0.35,0.72255576088715
6,0.5,0.35,0.676158320808172
2,0.55,0.35,0.912596587582089
3,0.55,0.35,0.807150464327464
