"k","alpha","omega","stabilite"
5,0.3,0.05,0.774440618931776
6,0.3,0.05,0.759893876169444
2,0.35,0.05,0.90117315096351
3,0.35,0.05,0.932026711107756
4,0.35,0.05,0.670446218841472
5,0.35,0.05,0.73781796407593
6,0.35,0.05,0.742008249621072
2,0.4,0.05,0.883771971691149
3,0.4,0.05,0.940699741809739
4,0.4,0.05,0.691071888263897
5,0.4,0.05,0.750324081852983
6,0.4,0.05,0.761476413967989
2,0.45,0.05,0.863634462511585
3,0.45,0.05,0.932998210608533
4,0.45,0.05,0.691265755918294
5,0.45,0.05,0.771023138431763
6,0.45,0.05,0.844324263404722
2,0.5,0.05,0.878412743364093
3,0.5,0.05,0.92456879949289
4,0.5,0.05,0.703786087658213
5,0.5,0.05,0.758606284524116
6,0.5,0.05,0.842948941649165
2,0.55,0.05,0.86706381425839
3,0.55,0.05,0.939784696371016
4,0.55,0.05,0.69413398482532
5,0.55,0.05,0.779069107875683
6,0.55,0.05,0.85880362398133
2,0.6,0.05,0.867905349368116
3,0.6,0.05,0.949943638811646
4,0.6,0.05,0.692221613635024
5,0.6,0.05,0.762132267160239
6,0.6,0.05,0.852546471447587
2,0.65,0.05,0.876443083395549
3,0.65,0.05,0.944322277546358
4,0.65,0.05,0.691250922906906
5,0.65,0.05,0.749686706708222
6,0.65,0.05,0.853862997655748
2,0.7,0.05,0.826035232937739
3,0.7,0.05,0.942065587911345
4,0.7,0.05,0.700254059697128
5,0.7,0.05,0.754639851044732
6,0.7,0.05,0.862930164949842
2,0.75,0.05,0.842113314196093
3,0.75,0.05,0.929839566088913
4,0.75,0.05,0.663924030298567
5,0.75,0.05,0.790140399466446
6,0.75,0.05,0.809651531303931
2,0.8,0.05,0.842187305403458
3,0.8,0.05,0.928611027980964
4,0.8,0.05,0.702553316574739
5,0.8,0.05,0.748712591276276
6,0.8,0.05,0.826194609231671
2,0.85,0.05,0.853275157118606
3,0.85,0.05,0.941373562573164
4,0.85,0.05,0.716090023279826
5,0.85,0.05,0.756513940221075
6,0.85,0.05,0.826497845898652
2,0.9,0.05,0.846125109379438
3,0.9,0.05,0.93124915478427
4,0.9,0.05,0.643681490403684
5,0.9,0.05,0.726642393160275
6,0.9,0.05,0.811516629261088
2,0.95,0.05,0.872306963690276
3,0.95,0.05,0.934282077223118
4,0.95,0.05,0.642738198501764
5,0.95,0.05,0.719080917391911
6,0.95,0.05,0.83608699747517
2,1,0.05,0.857382973260616
3,1,0.05,0.950083234902371
4,1,0.05,0.661033031082236
5,1,0.05,0.737136770771439
6,1,0.05,0.827696916142715
2,0,0.1,0.88442735602511
3,0,0.1,0.798588162255383
4,0,0.1,0.728456940882972
5,0,0.1,0.830835581385563
6,0,0.1,0.872909103805936
2,0.05,0.1,0.901192866254648
3,0.05,0.1,0.782232821946159
4,0.05,0.1,0.58835328017097
5,0.05,0.1,0.644965738311218
6,0.05,0.1,0.812962421788608
2,0.1,0.1,0.920903042093685
3,0.1,0.1,0.903011836595303
4,0.1,0.1,0.664388176344513
5,0.1,0.1,0.617899689952133
6,0.1,0.1,0.785300502562105
2,0.15,0.1,0.886542823080072
3,0.15,0.1,0.912055236846896
4,0.15,0.1,0.66438637870377
5,0.15,0.1,0.781524870446697
6,0.15,0.1,0.796193677153658
2,0.2,0.1,0.899089095797041
3,0.2,0.1,0.918718809837938
4,0.2,0.1,0.667495994729418
5,0.2,0.1,0.734227020264828
6,0.2,0.1,0.819015509063717
2,0.25,0.1,0.895738281192481
3,0.25,0.1,0.935978345866499
4,0.25,0.1,0.667893178320827
5,0.25,0.1,0.772251743074556
6,0.25,0.1,0.850543691961356
2,0.3,0.1,0.883351866052021
3,0.3,0.1,0.926998508137046
4,0.3,0.1,0.699628146860793
5,0.3,0.1,0.756105522844745
6,0.3,0.1,0.85627827850195
2,0.35,0.1,0.86416529013122
3,0.35,0.1,0.928946688160408
4,0.35,0.1,0.686291416019534
5,0.35,0.1,0.754156014001379
6,0.35,0.1,0.825382073481815
2,0.4,0.1,0.87420825844296
3,0.4,0.1,0.942317360696112
4,0.4,0.1,0.716872303113095
5,0.4,0.1,0.767792955487548
6,0.4,0.1,0.843676213354918
2,0.45,0.1,0.848859170244253
3,0.45,0.1,0.935542054742371
4,0.45,0.1,0.687014210028008
5,0.45,0.1,0.755435695482411
6,0.45,0.1,0.831407821510018
2,0.5,0.1,0.828659674406685
3,0.5,0.1,0.93217800480777
4,0.5,0.1,0.671218560548186
5,0.5,0.1,0.760724005380571
6,0.5,0.1,0.812022043584675
2,0.55,0.1,0.814716727559284
3,0.55,0.1,0.931012574941717
4,0.55,0.1,0.651355911217498
5,0.55,0.1,0.734349902848738
6,0.55,0.1,0.755532261169745
2,0.6,0.1,0.842226134694893
3,0.6,0.1,0.932727858406415
4,0.6,0.1,0.666991018715831
5,0.6,0.1,0.752875605996415
6,0.6,0.1,0.781241381521954
2,0.65,0.1,0.830497077041813
3,0.65,0.1,0.940963152015032
4,0.65,0.1,0.628256516584702
5,0.65,0.1,0.770940143627969
6,0.65,0.1,0.757842996126595
2,0.7,0.1,0.853967903132391
3,0.7,0.1,0.913312981319237
4,0.7,0.1,0.658488736037082
5,0.7,0.1,0.743488781696026
6,0.7,0.1,0.766499460566144
2,0.75,0.1,0.835028855523316
3,0.75,0.1,0.915721430732667
4,0.75,0.1,0.66061436863553
5,0.75,0.1,0.737820675885987
6,0.75,0.1,0.758220672023212
2,0.8,0.1,0.82537393135407
3,0.8,0.1,0.905182760750117
4,0.8,0.1,0.591812266541172
5,0.8,0.1,0.758648236490331
6,0.8,0.1,0.751891692269158
2,0.85,0.1,0.867044149405685
3,0.85,0.1,0.897559273849133
4,0.85,0.1,0.6890315095303
5,0.85,0.1,0.71749103885687
6,0.85,0.1,0.732939618177708
2,0.9,0.1,0.859311246571998
3,0.9,0.1,0.908595060117478
4,0.9,0.1,0.696052851919459
5,0.9,0.1,0.734124726963869
