"method","ari","silhouette"
"A",0.561208357043156,0.134285237199486
"B_silopt",0.555947199590956,0.287815455402799
"C_DK_ancien",0.651405525462241,0.125677137750641
"D0",0.527570523302742,0.256156159180207
"D1",0.62560224775202,0.257344861222096
"Df_silopt",0.55504615684502,0.287625907125084
"DK_reconstruit",0.608099456808093,0.118419685805674
"Ds",0.414484253292678,0.115940336885219
