"scenario","seed","k_vrai","alpha","omega","k_opt","instability_min","stabk"
"S2",1,3,0.4,0.6,3,NA,"NA;0.0891;0.0391;0.0551;0.0587;0.0638"
"S2",1,3,0.6,0.6,3,NA,"NA;0.092;0.0318;0.0566;0.0573;0.0654"
"S2",1,3,0.8,0.6,3,NA,"NA;0.0878;0.0283;0.0545;0.0654;0.0724"
"S2",1,3,1,0.6,3,NA,"NA;0.0833;0.0249;0.0486;0.0627;0.0653"
"S2",1,3,0,0.8,3,NA,"NA;0.0732;0.0371;0.0588;0.0664;0.064"
"S2",1,3,0.2,0.8,3,NA,"NA;0.0646;0.0311;0.0608;0.0642;0.0593"
"S2",1,3,0.4,0.8,3,NA,"NA;0.0505;0.0269;0.0538;0.0649;0.0602"
"S2",1,3,0.6,0.8,3,NA,"NA;0.0627;0.0225;0.0552;0.0589;0.0587"
"S2",1,3,0.8,0.8,3,NA,"NA;0.056;0.0166;0.0428;0.0589;0.0672"
"S2",1,3,1,0.8,3,NA,"NA;0.0643;0.0172;0.0451;0.0607;0.0699"
"S2",1,3,0,1,3,NA,"NA;0.0526;0.0385;0.068;0.0634;0.0493"
"S2",1,3,0.2,1,3,NA,"NA;0.0475;0.0313;0.0622;0.0681;0.0524"
"S2",1,3,0.4,1,3,NA,"NA;0.0479;0.0259;0.0598;0.0616;0.0508"
"S2",1,3,0.6,1,3,NA,"NA;0.0391;0.0248;0.0605;0.0586;0.0549"
"S2",1,3,0.8,1,3,NA,"NA;0.0358;0.0221;0.0567;0.065;0.0621"
"S2",1,3,1,1,3,NA,"NA;0.0461;0.0216;0.0529;0.0697;0.064"
"S3",1,3,0,0,6,NA,"NA;0.1239;0.0928;0.1047;0.1011;0.0889"
"S3",1,3,0.2,0,6,NA,"NA;0.1232;0.1015;0.1035;0.0957;0.09"
"S3",1,3,0.4,0,6,NA,"NA;0.1252;0.0968;0.0954;0.094;0.0916"
"S3",1,3,0.6,0,6,NA,"NA;0.1349;0.0968;0.1016;0.0955;0.0894"
"S3",1,3,0.8,0,6,NA,"NA;0.1246;0.0988;0.0962;0.098;0.0892"
"S3",1,3,1,0,3,NA,"NA;0.1246;0.0927;0.1041;0.1023;0.0928"
"S3",1,3,0,0.2,5,NA,"NA;0.0906;0.1024;0.1034;0.0802;0.0811"
"S3",1,3,0.2,0.2,5,NA,"NA;0.1102;0.0897;0.089;0.0793;0.0799"
"S3",1,3,0.4,0.2,6,NA,"NA;0.1016;0.0901;0.0957;0.0832;0.0781"
"S3",1,3,0.6,0.2,6,NA,"NA;0.0992;0.0829;0.0925;0.0866;0.0785"
"S3",1,3,0.8,0.2,3,NA,"NA;0.0865;0.0798;0.096;0.0889;0.0833"
"S3",1,3,1,0.2,6,NA,"NA;0.0843;0.0907;0.0904;0.0877;0.0842"
"S3",1,3,0,0.4,5,NA,"NA;0.1094;0.1066;0.0997;0.0777;0.0789"
"S3",1,3,0.2,0.4,6,NA,"NA;0.0957;0.106;0.0917;0.08;0.0734"
"S3",1,3,0.4,0.4,5,NA,"NA;0.1019;0.1;0.0884;0.0775;0.0794"
"S3",1,3,0.6,0.4,6,NA,"NA;0.108;0.0993;0.0873;0.0786;0.0727"
"S3",1,3,0.8,0.4,6,NA,"NA;0.105;0.0926;0.0866;0.0833;0.075"
"S3",1,3,1,0.4,3,NA,"NA;0.0994;0.078;0.0824;0.0811;0.08"
"S3",1,3,0,0.6,6,NA,"NA;0.11;0.1025;0.0943;0.0894;0.0829"
"S3",1,3,0.2,0.6,6,NA,"NA;0.0867;0.1182;0.0958;0.0856;0.0853"
"S3",1,3,0.4,0.6,5,NA,"NA;0.0979;0.1158;0.0913;0.0791;0.0851"
"S3",1,3,0.6,0.6,6,NA,"NA;0.103;0.1094;0.0961;0.0868;0.0832"
"S3",1,3,0.8,0.6,5,NA,"NA;0.1042;0.0967;0.0958;0.0846;0.0883"
"S3",1,3,1,0.6,6,NA,"NA;0.0868;0.092;0.0888;0.0921;0.086"
"S3",1,3,0,0.8,5,NA,"NA;0.1276;0.0971;0.1008;0.086;0.0888"
"S3",1,3,0.2,0.8,6,NA,"NA;0.0895;0.1031;0.1041;0.089;0.0864"
"S3",1,3,0.4,0.8,2,NA,"NA;0.0853;0.0923;0.1018;0.0914;0.0867"
"S3",1,3,0.6,0.8,2,NA,"NA;0.0748;0.1009;0.1;0.0956;0.0888"
"S3",1,3,0.8,0.8,2,NA,"NA;0.0656;0.1086;0.0968;0.0913;0.0902"
"S3",1,3,1,0.8,2,NA,"NA;0.0616;0.1008;0.0995;0.099;0.0956"
"S3",1,3,0,1,6,NA,"NA;0.1259;0.0859;0.096;0.0893;0.0849"
"S3",1,3,0.2,1,6,NA,"NA;0.0941;0.1034;0.0868;0.0892;0.0861"
"S3",1,3,0.4,1,2,NA,"NA;0.0716;0.1062;0.0951;0.0872;0.0831"
"S3",1,3,0.6,1,2,NA,"NA;0.074;0.1053;0.1036;0.0965;0.0892"
"S3",1,3,0.8,1,2,NA,"NA;0.069;0.113;0.1063;0.0998;0.0858"
