"alpha","omega","k_opt","instability_min","stabk"
0,0,6,NA,"NA;0.1239;0.0928;0.1047;0.1011;0.0889"
0.2,0,6,NA,"NA;0.1232;0.1015;0.1035;0.0957;0.09"
0.4,0,6,NA,"NA;0.1252;0.0968;0.0954;0.094;0.0916"
0.6,0,6,NA,"NA;0.1349;0.0968;0.1016;0.0955;0.0894"
0.8,0,6,NA,"NA;0.1246;0.0988;0.0962;0.098;0.0892"
1,0,3,NA,"NA;0.1246;0.0927;0.1041;0.1023;0.0928"
0,0.2,5,NA,"NA;0.0906;0.1024;0.1034;0.0802;0.0811"
0.2,0.2,5,NA,"NA;0.1102;0.0897;0.089;0.0793;0.0799"
0.4,0.2,6,NA,"NA;0.1016;0.0901;0.0957;0.0832;0.0781"
0.6,0.2,6,NA,"NA;0.0992;0.0829;0.0925;0.0866;0.0785"
0.8,0.2,3,NA,"NA;0.0865;0.0798;0.096;0.0889;0.0833"
1,0.2,6,NA,"NA;0.0843;0.0907;0.0904;0.0877;0.0842"
0,0.4,5,NA,"NA;0.1094;0.1066;0.0997;0.0777;0.0789"
0.2,0.4,6,NA,"NA;0.0957;0.106;0.0917;0.08;0.0734"
0.4,0.4,5,NA,"NA;0.1019;0.1;0.0884;0.0775;0.0794"
0.6,0.4,6,NA,"NA;0.108;0.0993;0.0873;0.0786;0.0727"
0.8,0.4,6,NA,"NA;0.105;0.0926;0.0866;0.0833;0.075"
1,0.4,3,NA,"NA;0.0994;0.078;0.0824;0.0811;0.08"
0,0.6,6,NA,"NA;0.11;0.1025;0.0943;0.0894;0.0829"
0.2,0.6,6,NA,"NA;0.0867;0.1182;0.0958;0.0856;0.0853"
0.4,0.6,5,NA,"NA;0.0979;0.1158;0.0913;0.0791;0.0851"
0.6,0.6,6,NA,"NA;0.103;0.1094;0.0961;0.0868;0.0832"
0.8,0.6,5,NA,"NA;0.1042;0.0967;0.0958;0.0846;0.0883"
1,0.6,6,NA,"NA;0.0868;0.092;0.0888;0.0921;0.086"
0,0.8,5,NA,"NA;0.1276;0.0971;0.1008;0.086;0.0888"
0.2,0.8,6,NA,"NA;0.0895;0.1031;0.1041;0.089;0.0864"
0.4,0.8,2,NA,"NA;0.0853;0.0923;0.1018;0.0914;0.0867"
0.6,0.8,2,NA,"NA;0.0748;0.1009;0.1;0.0956;0.0888"
0.8,0.8,2,NA,"NA;0.0656;0.1086;0.0968;0.0913;0.0902"
1,0.8,2,NA,"NA;0.0616;0.1008;0.0995;0.099;0.0956"
0,1,6,NA,"NA;0.1259;0.0859;0.096;0.0893;0.0849"
0.2,1,6,NA,"NA;0.0941;0.1034;0.0868;0.0892;0.0861"
0.4,1,2,NA,"NA;0.0716;0.1062;0.0951;0.0872;0.0831"
0.6,1,2,NA,"NA;0.074;0.1053;0.1036;0.0965;0.0892"
0.8,1,2,NA,"NA;0.069;0.113;0.1063;0.0998;0.0858"
1,1,2,NA,"NA;0.0603;0.1156;0.1141;0.0963;0.0876"
