"scenario","seed","k_vrai","prop_grid_k_match","median_k_opt","mode_k_opt"
"S1",1,3,0.916666666666667,3,3
"S2",1,3,0.722222222222222,3,3
"S3",1,3,0.0833333333333333,5.5,6
"S4",1,3,0,6,6
