"k","alpha","omega","stabilite"
3,0.95,0,0.948334553744012
4,0.95,0,0.851370656483529
5,0.95,0,0.839248572010501
6,0.95,0,0.869450031419064
2,1,0,0.758939284037453
3,1,0,0.942499258496217
4,1,0,0.853132709121111
5,1,0,0.847262075828613
6,1,0,0.859590856653292
2,0,0.05,0.754947662044808
3,0,0.05,0.92065331749687
4,0,0.05,0.890352439335985
5,0,0.05,0.867271427416757
6,0,0.05,0.864927852348712
2,0.05,0.05,0.728978980323735
3,0.05,0.05,0.88528936024262
4,0.05,0.05,0.912068366928675
5,0.05,0.05,0.865527033163777
6,0.05,0.05,0.872606223585753
2,0.1,0.05,0.656454974695527
3,0.1,0.05,0.902010428980139
4,0.1,0.05,0.896143219152996
5,0.1,0.05,0.851391520436373
6,0.1,0.05,0.862631659820256
2,0.15,0.05,0.755144206946209
3,0.15,0.05,0.912006331230751
4,0.15,0.05,0.905687285774931
5,0.15,0.05,0.848061165351143
6,0.15,0.05,0.876704888740226
2,0.2,0.05,0.741512984591784
3,0.2,0.05,0.921705644932874
4,0.2,0.05,0.901765057653244
5,0.2,0.05,0.840329843195054
6,0.2,0.05,0.877919817414816
2,0.25,0.05,0.707165850083529
3,0.25,0.05,0.922954484576816
4,0.25,0.05,0.909216840282863
5,0.25,0.05,0.847795962709754
6,0.25,0.05,0.892552235967371
2,0.3,0.05,0.754756670187363
3,0.3,0.05,0.914689457646389
4,0.3,0.05,0.917264850208224
5,0.3,0.05,0.851525358744473
6,0.3,0.05,0.869996503254075
2,0.35,0.05,0.754653472951776
3,0.35,0.05,0.933480701606051
4,0.35,0.05,0.902670450914055
5,0.35,0.05,0.86071919533554
6,0.35,0.05,0.873257084441079
2,0.4,0.05,0.702949028608608
3,0.4,0.05,0.932425384840588
4,0.4,0.05,0.90750602170299
5,0.4,0.05,0.842485888217919
6,0.4,0.05,0.876989518743333
2,0.45,0.05,0.695342742434068
3,0.45,0.05,0.942149011853429
4,0.45,0.05,0.919377977277624
5,0.45,0.05,0.837435092287252
6,0.45,0.05,0.883602783080278
2,0.5,0.05,0.729608605250042
3,0.5,0.05,0.939216707431899
4,0.5,0.05,0.925922286174028
5,0.5,0.05,0.832996765001134
6,0.5,0.05,0.890156374320443
2,0.55,0.05,0.704833772572099
3,0.55,0.05,0.937990691448094
4,0.55,0.05,0.882032525492465
5,0.55,0.05,0.856455817199758
6,0.55,0.05,0.897565416856906
2,0.6,0.05,0.702891485201874
3,0.6,0.05,0.924308311536551
4,0.6,0.05,0.894028569914753
5,0.6,0.05,0.860234795279846
6,0.6,0.05,0.886611757928393
2,0.65,0.05,0.742160622126545
3,0.65,0.05,0.928004085218299
4,0.65,0.05,0.897722097556691
5,0.65,0.05,0.862549250433234
6,0.65,0.05,0.881970405393656
2,0.7,0.05,0.800999271245049
3,0.7,0.05,0.929970487876057
4,0.7,0.05,0.919698561569236
5,0.7,0.05,0.871506966738145
6,0.7,0.05,0.904379893069303
2,0.75,0.05,0.780540011471577
3,0.75,0.05,0.924332904771885
4,0.75,0.05,0.911387204390703
5,0.75,0.05,0.876600189544266
6,0.75,0.05,0.891221728495288
2,0.8,0.05,0.726742831608536
3,0.8,0.05,0.945064544789522
4,0.8,0.05,0.908979259495965
5,0.8,0.05,0.875336990834604
6,0.8,0.05,0.903050205289564
2,0.85,0.05,0.746770958951529
3,0.85,0.05,0.956512455024534
4,0.85,0.05,0.926642554253831
5,0.85,0.05,0.867331385657179
6,0.85,0.05,0.891220794723159
2,0.9,0.05,0.767646657767244
3,0.9,0.05,0.950881747004449
4,0.9,0.05,0.92586663120573
5,0.9,0.05,0.888752344292925
6,0.9,0.05,0.907027787852954
2,0.95,0.05,0.760729503350545
3,0.95,0.05,0.951512440372788
4,0.95,0.05,0.894097728087892
5,0.95,0.05,0.87859509726911
6,0.95,0.05,0.883965272990709
2,1,0.05,0.734261620537073
3,1,0.05,0.964442472931297
4,1,0.05,0.913488080293248
5,1,0.05,0.881040687555997
6,1,0.05,0.908141507643293
2,0,0.1,0.688468454512518
3,0,0.1,0.951905870760997
4,0,0.1,0.916745610897403
5,0,0.1,0.830063175602266
6,0,0.1,0.773861657761183
2,0.05,0.1,0.697216398073516
3,0.05,0.1,0.961513921744878
4,0.05,0.1,0.897771354859492
5,0.05,0.1,0.830144936195724
6,0.05,0.1,0.790394608435506
2,0.1,0.1,0.63136335712716
3,0.1,0.1,0.958148149818582
4,0.1,0.1,0.919712207565133
5,0.1,0.1,0.840959757588633
6,0.1,0.1,0.778416301689101
2,0.15,0.1,0.642268280172623
3,0.15,0.1,0.949733583069943
4,0.15,0.1,0.942722806574323
5,0.15,0.1,0.851046095718269
6,0.15,0.1,0.774455261341218
2,0.2,0.1,0.698415619492861
3,0.2,0.1,0.957465933281771
4,0.2,0.1,0.928414181159749
5,0.2,0.1,0.827703836691822
6,0.2,0.1,0.863329847223121
2,0.25,0.1,0.692267675228775
3,0.25,0.1,0.920779468834545
4,0.25,0.1,0.929955772370722
5,0.25,0.1,0.831300196511475
6,0.25,0.1,0.848890519782251
2,0.3,0.1,0.680145686525785
3,0.3,0.1,0.909841208612611
4,0.3,0.1,0.937157206969264
5,0.3,0.1,0.846901007953485
6,0.3,0.1,0.852156046368509
2,0.35,0.1,0.746929273671257
3,0.35,0.1,0.914119865718705
4,0.35,0.1,0.922327511964952
5,0.35,0.1,0.851664293530623
6,0.35,0.1,0.869827414870123
2,0.4,0.1,0.643868823371382
3,0.4,0.1,0.914526258961848
4,0.4,0.1,0.939717065894802
5,0.4,0.1,0.836287220706878
6,0.4,0.1,0.870847860600237
2,0.45,0.1,0.716207830840574
3,0.45,0.1,0.922581532051862
4,0.45,0.1,0.904407324562584
5,0.45,0.1,0.849723075857916
6,0.45,0.1,0.872712208385076
2,0.5,0.1,0.650404144749285
3,0.5,0.1,0.926920448461976
4,0.5,0.1,0.917174538829072
5,0.5,0.1,0.8525750475616
6,0.5,0.1,0.875377404212625
2,0.55,0.1,0.715930997766756
3,0.55,0.1,0.939135137468755
4,0.55,0.1,0.905858101717483
5,0.55,0.1,0.855964824395786
6,0.55,0.1,0.892141247850877
2,0.6,0.1,0.688788188107543
3,0.6,0.1,0.927226286694972
4,0.6,0.1,0.926676556620661
5,0.6,0.1,0.85604932798092
6,0.6,0.1,0.889601730181331
2,0.65,0.1,0.643965329275864
3,0.65,0.1,0.945765536658662
4,0.65,0.1,0.913225553969185
5,0.65,0.1,0.856166636043259
6,0.65,0.1,0.876754093849047
2,0.7,0.1,0.71445005835894
3,0.7,0.1,0.958251641022542
4,0.7,0.1,0.926953638484794
5,0.7,0.1,0.847104852795882
6,0.7,0.1,0.875731091205063
2,0.75,0.1,0.642164801289917
3,0.75,0.1,0.953144570303215
4,0.75,0.1,0.920028219183545
5,0.75,0.1,0.881011471541001
6,0.75,0.1,0.887082225638566
2,0.8,0.1,0.728420020087269
3,0.8,0.1,0.958734943779253
4,0.8,0.1,0.914631614142966
5,0.8,0.1,0.882183562852908
6,0.8,0.1,0.898612660077214
2,0.85,0.1,0.687758755455216
3,0.85,0.1,0.969347884877304
4,0.85,0.1,0.926570415601778
5,0.85,0.1,0.872392772995
6,0.85,0.1,0.897940224118528
2,0.9,0.1,0.686887151137515
3,0.9,0.1,0.979329315406124
4,0.9,0.1,0.923703297032729
5,0.9,0.1,0.891348617443502
6,0.9,0.1,0.897137901539656
2,0.95,0.1,0.654982962565927
3,0.95,0.1,0.981881245018665
4,0.95,0.1,0.91394947544828
5,0.95,0.1,0.885606623709037
6,0.95,0.1,0.886832008709762
2,1,0.1,0.700215973528798
3,1,0.1,0.972554274818549
4,1,0.1,0.928696714503295
5,1,0.1,0.902133724005008
6,1,0.1,0.892181231310198
2,0,0.15,0.588254105845011
3,0,0.15,0.971791423829397
4,0,0.15,0.921379238072656
5,0,0.15,0.756637253713063
6,0,0.15,0.811640657987346
2,0.05,0.15,0.556720605890554
3,0.05,0.15,0.970915319730643
4,0.05,0.15,0.916486195045277
5,0.05,0.15,0.701565974721321
6,0.05,0.15,0.788272264521645
2,0.1,0.15,0.671205869041145
3,0.1,0.15,0.954587967657203
