"k","alpha","omega","stabilite"
6,0.8,0,0.831300263949753
2,0.85,0,0.936427120440376
3,0.85,0,0.914459124055131
4,0.85,0,0.964138019943553
5,0.85,0,0.863272002260551
6,0.85,0,0.842207196606443
2,0.9,0,0.935252169468837
3,0.9,0,0.90276107794894
4,0.9,0,0.963283797278793
5,0.9,0,0.853770347129514
6,0.9,0,0.848001284205462
2,0.95,0,0.931653208097853
3,0.95,0,0.909193403994742
4,0.95,0,0.971195584656549
5,0.95,0,0.870817679827458
6,0.95,0,0.837163961294714
2,1,0,0.942542453488459
3,1,0,0.914972968734439
4,1,0,0.96979086873406
5,1,0,0.829247845086523
6,1,0,0.846197050286552
2,0,0.05,0.88381595738756
3,0,0.05,0.929638654578245
4,0,0.05,0.918737781304002
5,0,0.05,0.859627164877727
6,0,0.05,0.842466570115365
2,0.05,0.05,0.889405208526747
3,0.05,0.05,0.935834110271238
4,0.05,0.05,0.920422390718828
5,0.05,0.05,0.871450199613012
6,0.05,0.05,0.833956926348601
2,0.1,0.05,0.895516554292549
3,0.1,0.05,0.949962074338321
4,0.1,0.05,0.927690951937008
5,0.1,0.05,0.845334100607234
6,0.1,0.05,0.849995253051348
2,0.15,0.05,0.88834746883385
3,0.15,0.05,0.946934941822826
4,0.15,0.05,0.923403728369104
5,0.15,0.05,0.863718360523972
6,0.15,0.05,0.861705157226519
2,0.2,0.05,0.884285712018747
3,0.2,0.05,0.943194276325665
4,0.2,0.05,0.935004184089775
5,0.2,0.05,0.867679306314866
6,0.2,0.05,0.852109804471468
2,0.25,0.05,0.889121921219289
3,0.25,0.05,0.945009396775801
4,0.25,0.05,0.915234219685108
5,0.25,0.05,0.873315603695896
6,0.25,0.05,0.842012184103086
2,0.3,0.05,0.890969190666358
3,0.3,0.05,0.950281211406606
4,0.3,0.05,0.92285132655941
5,0.3,0.05,0.844033496833549
6,0.3,0.05,0.870074953659706
2,0.35,0.05,0.895174393142574
3,0.35,0.05,0.962614107346509
4,0.35,0.05,0.922736764509877
5,0.35,0.05,0.866176093643529
6,0.35,0.05,0.856352314447961
2,0.4,0.05,0.881938937816209
3,0.4,0.05,0.959654322113013
4,0.4,0.05,0.929255375722349
5,0.4,0.05,0.845976787408356
6,0.4,0.05,0.877078560576808
2,0.45,0.05,0.886687225508215
3,0.45,0.05,0.959200896791232
4,0.45,0.05,0.929093252934075
5,0.45,0.05,0.840104089408715
6,0.45,0.05,0.866446164518974
2,0.5,0.05,0.889820378090084
3,0.5,0.05,0.954348318626147
4,0.5,0.05,0.936177650769255
5,0.5,0.05,0.853725007927815
6,0.5,0.05,0.865701258556082
2,0.55,0.05,0.883948616269709
3,0.55,0.05,0.949577696391256
4,0.55,0.05,0.928514625788775
5,0.55,0.05,0.839222801420663
6,0.55,0.05,0.856082497301645
2,0.6,0.05,0.908132300287918
3,0.6,0.05,0.950797772005249
4,0.6,0.05,0.940076020811113
5,0.6,0.05,0.848100329576993
6,0.6,0.05,0.840789185327292
2,0.65,0.05,0.8921017858263
3,0.65,0.05,0.955416337601763
4,0.65,0.05,0.941421888929367
5,0.65,0.05,0.852135464985163
6,0.65,0.05,0.870001862486952
2,0.7,0.05,0.907675624308032
3,0.7,0.05,0.933502567709813
4,0.7,0.05,0.943188388080006
5,0.7,0.05,0.832378509959469
6,0.7,0.05,0.851082878346941
2,0.75,0.05,0.916299609128616
3,0.75,0.05,0.936413966598935
4,0.75,0.05,0.944502744359814
5,0.75,0.05,0.849649711207269
6,0.75,0.05,0.870292744390499
2,0.8,0.05,0.915234185965626
3,0.8,0.05,0.93213411173568
4,0.8,0.05,0.947452621888211
5,0.8,0.05,0.82631475259668
6,0.8,0.05,0.834273163997642
2,0.85,0.05,0.921391617230192
3,0.85,0.05,0.924035123455712
4,0.85,0.05,0.947661493909678
5,0.85,0.05,0.850678195486287
6,0.85,0.05,0.855525239270306
2,0.9,0.05,0.918578464132687
3,0.9,0.05,0.918237855812092
4,0.9,0.05,0.950381846974429
5,0.9,0.05,0.865365629796304
6,0.9,0.05,0.855218175093191
2,0.95,0.05,0.942833457551409
3,0.95,0.05,0.926921598201482
4,0.95,0.05,0.940029521772338
5,0.95,0.05,0.852727704760602
6,0.95,0.05,0.841621859714721
2,1,0.05,0.945513255513024
3,1,0.05,0.917777758498691
4,1,0.05,0.94818584307162
5,1,0.05,0.820718082939404
6,1,0.05,0.837949362020964
2,0,0.1,0.885122573967542
3,0,0.1,0.940905310466426
4,0,0.1,0.907244746766644
5,0,0.1,0.865152075908016
6,0,0.1,0.853885153731713
2,0.05,0.1,0.892162798542688
3,0.05,0.1,0.938671928304803
4,0.05,0.1,0.918944431755551
5,0.05,0.1,0.869541176188056
6,0.05,0.1,0.854573659572964
2,0.1,0.1,0.89311124186453
3,0.1,0.1,0.947213560023302
4,0.1,0.1,0.92896299808969
5,0.1,0.1,0.85807193949152
6,0.1,0.1,0.849600098990373
2,0.15,0.1,0.922735253419565
3,0.15,0.1,0.94548315915664
4,0.15,0.1,0.927155648129195
5,0.15,0.1,0.875982275731942
6,0.15,0.1,0.845553561513755
2,0.2,0.1,0.917773554961063
3,0.2,0.1,0.952228780742946
4,0.2,0.1,0.921143289551202
5,0.2,0.1,0.864324362242145
6,0.2,0.1,0.836042223443567
2,0.25,0.1,0.935786582816733
3,0.25,0.1,0.950200861013047
4,0.25,0.1,0.920017508484435
5,0.25,0.1,0.858335270571889
6,0.25,0.1,0.857914346624381
2,0.3,0.1,0.932070916114025
3,0.3,0.1,0.955528105177646
4,0.3,0.1,0.921547077951757
