"k","alpha","omega","stabilite"
5,0.1,0.05,0.691854584955981
6,0.1,0.05,0.649789678007711
2,0.15,0.05,0.957104582877598
3,0.15,0.05,0.85807074072447
4,0.15,0.05,0.895796895046152
5,0.15,0.05,0.694914379459325
6,0.15,0.05,0.680889235007063
2,0.2,0.05,0.95711098899231
3,0.2,0.05,0.885917932394157
4,0.2,0.05,0.878739408084487
5,0.2,0.05,0.705729739839519
6,0.2,0.05,0.662127353145237
2,0.25,0.05,0.950659955426276
3,0.25,0.05,0.858623058586015
4,0.25,0.05,0.884093854433659
5,0.25,0.05,0.750040153854435
6,0.25,0.05,0.731553360943693
2,0.3,0.05,0.954249840995139
3,0.3,0.05,0.865454009228994
4,0.3,0.05,0.883363615204909
5,0.3,0.05,0.736358886212824
6,0.3,0.05,0.764368348827266
2,0.35,0.05,0.950436474572062
3,0.35,0.05,0.864675914139837
4,0.35,0.05,0.878541302927679
5,0.35,0.05,0.756981331607559
6,0.35,0.05,0.716194625576598
2,0.4,0.05,0.948532034275697
3,0.4,0.05,0.873188984681527
4,0.4,0.05,0.8685918904589
5,0.4,0.05,0.761742486608649
6,0.4,0.05,0.752232835929207
2,0.45,0.05,0.955493313638787
3,0.45,0.05,0.847582085276845
4,0.45,0.05,0.881824462255772
5,0.45,0.05,0.765211157784375
6,0.45,0.05,0.729268333072867
2,0.5,0.05,0.95520013913668
3,0.5,0.05,0.893506355547827
4,0.5,0.05,0.872230249835903
5,0.5,0.05,0.763963484309019
6,0.5,0.05,0.750777171828707
2,0.55,0.05,0.948674489310297
3,0.55,0.05,0.857502758063028
4,0.55,0.05,0.890922395051676
5,0.55,0.05,0.76035114175944
6,0.55,0.05,0.74277607064586
2,0.6,0.05,0.962898343646417
3,0.6,0.05,0.844726932381656
4,0.6,0.05,0.870240834242763
5,0.6,0.05,0.70057857365832
6,0.6,0.05,0.745260126000691
2,0.65,0.05,0.958277328826635
3,0.65,0.05,0.844819431941887
4,0.65,0.05,0.883112686246235
5,0.65,0.05,0.683739485515609
6,0.65,0.05,0.733428880305592
2,0.7,0.05,0.955625600838703
3,0.7,0.05,0.851787932069526
4,0.7,0.05,0.857083651464644
5,0.7,0.05,0.716568287628821
6,0.7,0.05,0.776574273292583
2,0.75,0.05,0.949698373248885
3,0.75,0.05,0.873793959939756
4,0.75,0.05,0.873483839988769
5,0.75,0.05,0.703203874309804
6,0.75,0.05,0.759224207378194
2,0.8,0.05,0.944201236417094
3,0.8,0.05,0.852161128141954
4,0.8,0.05,0.867451907647874
5,0.8,0.05,0.721795352525787
6,0.8,0.05,0.762839290779916
2,0.85,0.05,0.952415730996902
3,0.85,0.05,0.852728709283216
4,0.85,0.05,0.855828028325943
5,0.85,0.05,0.703950715898375
6,0.85,0.05,0.75910132088751
2,0.9,0.05,0.95541317140511
3,0.9,0.05,0.83459764117853
4,0.9,0.05,0.871991041767668
5,0.9,0.05,0.697077792218915
6,0.9,0.05,0.721419912640865
2,0.95,0.05,0.93817744849954
3,0.95,0.05,0.858246511850016
4,0.95,0.05,0.863058228238535
5,0.95,0.05,0.711484415785631
6,0.95,0.05,0.733464726433738
2,1,0.05,0.947866282188593
3,1,0.05,0.854420111879344
4,1,0.05,0.864166118165793
5,1,0.05,0.714612436890787
